City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,caluquembe,-13.7833,14.6833,64.06,76,63,"{'speed': 3.56, 'deg': 353, 'gust': 3.58}",AO,200
186,okha,53.5739,142.9478,29.62,79,35,"{'speed': 20.98, 'deg': 288, 'gust': 35.21}",RU,200
187,innisfail,-17.5333,146.0333,72.18,88,100,"{'speed': 15.12, 'deg': 133, 'gust': 24.74}",AU,200
188,palasa,18.7667,84.4167,76.03,74,3,"{'speed': 4.45, 'deg': 266, 'gust': 4.99}",IN,200
189,genhe,50.7833,121.5167,23.18,65,17,"{'speed': 2.39, 'deg': 182, 'gust': 3.85}",CN,200
190,sur,22.5667,59.5289,83.57,55,97,"{'speed': 10.78, 'deg': 223, 'gust': 13.4}",OM,200
191,lielvarde,56.7207,24.8074,55.42,68,1,"{'speed': 8.55, 'deg': 173, 'gust': 26.57}",LV,200
192,tuy hoa,13.0833,109.3,74.03,91,9,"{'speed': 3.94, 'deg': 259, 'gust': 3.69}",VN,200
193,henties bay,-22.116,14.2845,64.87,73,76,"{'speed': 3.24, 'deg': 289, 'gust': 4.63}",,200
194,yumen,40.2833,97.2,47.73,47,97,"{'speed': 22.41, 'deg': 267, 'gust': 35.81}",CN,200
195,los llanos de aridane,28.6585,-17.9182,62.35,92,20,"{'speed': 13.8, 'deg': 10}",ES,200
196,port macquarie,-31.4333,152.9167,62.89,80,82,"{'speed': 10.94, 'deg': 152, 'gust': 17.11}",AU,200
197,ponta do sol,32.6667,-17.1,65.71,76,98,"{'speed': 2.84, 'deg': 53, 'gust': 3.98}",PT,200
198,raudeberg,61.9875,5.1352,39.87,64,100,"{'speed': 34.45, 'deg': 36, 'gust': 39.06}",NO,200
199,makakilo city,21.3469,-158.0858,82.72,64,0,"{'speed': 10.36, 'deg': 140}",US,200
200,lavrentiya,65.5833,-171.0,18.16,69,2,"{'speed': 5.48, 'deg': 35, 'gust': 7.4}",RU,200
201,alice springs,-23.7,133.8833,49.55,81,0,"{'speed': 4.79, 'deg': 122, 'gust': 7.4}",AU,200
202,tiksi,71.6872,128.8694,11.1,96,80,"{'speed': 3.83, 'deg': 296, 'gust': 3.98}",RU,200
203,roald,62.5833,6.1333,39.9,81,75,"{'speed': 20.71, 'deg': 40}",NO,200
204,fuyu,45.1833,124.8167,37.65,21,0,"{'speed': 8.68, 'deg': 226, 'gust': 22.35}",CN,200
